index,STATE,suicide_rate,DEATHS,Primary_School,High_School,Associates_Degree,Professional_Degree,White,Black,Asian,Hispanic,Men,Women,year
1,AL,15.8,827,,,,,,,,,,,2021
2,AK,30.8,220,,,,,,,,,,,2021
3,AZ,19.5,1475,,,,,,,,,,,2021
4,AR,20.6,618,,,,,,,,,,,2021
5,CA,10.1,4148,,,,,,,,,,,2021
6,CO,22.8,1384,,,,,,,,,,,2021
7,CT,10.0,401,,,,,,,,,,,2021
8,DE,13.6,137,,,,,,,,,,,2021
9,FL,14.0,3351,,,,,,,,,,,2021
10,GA,15.3,1676,,,,,,,,,,,2021
11,HI,13.7,202,,,,,,,,,,,2021
12,ID,20.5,387,,,,,,,,,,,2021
13,IL,11.1,1454,,,,,,,,,,,2021
14,IN,16.4,1129,,,,,,,,,,,2021
15,IA,17.5,549,,,,,,,,,,,2021
16,KS,19.4,560,,,,,,,,,,,2021
17,KY,17.9,816,,,,,,,,,,,2021
18,LA,14.8,689,,,,,,,,,,,2021
19,ME,19.5,277,,,,,,,,,,,2021
20,MD,9.7,620,,,,,,,,,,,2021
21,MA,8.0,604,,,,,,,,,,,2021
22,MI,14.3,1485,,,,,,,,,,,2021
23,MN,13.9,808,,,,,,,,,,,2021
24,MS,16.2,480,,,,,,,,,,,2021
25,MO,18.7,1177,,,,,,,,,,,2021
26,MT,32.0,350,,,,,,,,,,,2021
27,NE,15.0,288,,,,,,,,,,,2021
28,NV,21.5,691,,,,,,,,,,,2021
29,NH,15.1,223,,,,,,,,,,,2021
30,NJ,7.1,688,,,,,,,,,,,2021
31,NM,25.0,533,,,,,,,,,,,2021
32,NY,7.9,1660,,,,,,,,,,,2021
33,NC,13.2,1448,,,,,,,,,,,2021
34,ND,20.8,156,,,,,,,,,,,2021
35,OH,14.6,1766,,,,,,,,,,,2021
36,OK,22.1,877,,,,,,,,,,,2021
37,OR,19.5,889,,,,,,,,,,,2021
38,PA,13.9,1885,,,,,,,,,,,2021
