index,YEAR,STATE,RATE,DEATHS
1,2021,AL,15.8,827
2,2021,AK,30.8,220
3,2021,AZ,19.5,1475
4,2021,AR,20.6,618
5,2021,CA,10.1,4148
6,2021,CO,22.8,1384
7,2021,CT,10.0,401
8,2021,DE,13.6,137
9,2021,FL,14.0,3351
10,2021,GA,15.3,1676
11,2021,HI,13.7,202
12,2021,ID,20.5,387
13,2021,IL,11.1,1454
14,2021,IN,16.4,1129
15,2021,IA,17.5,549
16,2021,KS,19.4,560
17,2021,KY,17.9,816
18,2021,LA,14.8,689
19,2021,ME,19.5,277
20,2021,MD,9.7,620
21,2021,MA,8.0,604
22,2021,MI,14.3,1485
23,2021,MN,13.9,808
24,2021,MS,16.2,480
25,2021,MO,18.7,1177
26,2021,MT,32.0,350
27,2021,NE,15.0,288
28,2021,NV,21.5,691
29,2021,NH,15.1,223
30,2021,NJ,7.1,688
31,2021,NM,25.0,533
32,2021,NY,7.9,1660
33,2021,NC,13.2,1448
34,2021,ND,20.8,156
35,2021,OH,14.6,1766
36,2021,OK,22.1,877
37,2021,OR,19.5,889
38,2021,PA,13.9,1885
39,2021,RI,10.3,117
40,2021,SC,15.2,802
41,2021,SD,23.2,203
42,2021,TN,17.0,1222
43,2021,TX,14.2,4193
44,2021,UT,20.1,643
45,2021,VT,20.3,142
46,2021,VA,13.2,1188
47,2021,WA,15.3,1229
48,2021,WV,20.6,375
49,2021,WI,15.1,905
50,2021,WY,32.3,190
51,2020,AL,16.0,793
52,2020,AK,27.5,204
53,2020,AZ,17.6,1363
54,2020,AR,19.0,583
55,2020,CA,10.0,4144
56,2020,CO,21.5,1302
57,2020,CT,9.3,364
58,2020,DE,12.3,124
59,2020,FL,13.2,3135
60,2020,GA,13.7,1491
61,2020,HI,12.9,184
62,2020,ID,23.2,419
63,2020,IL,10.5,1362
64,2020,IN,15.0,1024
65,2020,IA,18.0,552
66,2020,KS,18.4,531
67,2020,KY,17.7,801
68,2020,LA,13.7,642
69,2020,ME,16.4,234
70,2020,MD,9.2,585
71,2020,MA,8.4,618
72,2020,MI,14.0,1444
73,2020,MN,13.1,758
74,2020,MS,13.9,410
75,2020,MO,18.2,1125
76,2020,MT,26.1,300
77,2020,NE,14.9,283
78,2020,NV,18.2,603
79,2020,NH,16.4,234
80,2020,NJ,7.1,679
81,2020,NM,24.2,516
82,2020,NY,8.0,1642
83,2020,NC,13.2,1441
84,2020,ND,18.2,135
85,2020,OH,13.8,1644
86,2020,OK,21.9,869
87,2020,OR,18.3,833
88,2020,PA,12.6,1694
89,2020,RI,8.5,94
90,2020,SC,16.3,868
91,2020,SD,21.0,186
92,2020,TN,17.2,1220
93,2020,TX,13.3,3924
94,2020,UT,20.8,651
95,2020,VT,18.1,117
96,2020,VA,13.5,1202
97,2020,WA,15.2,1212
98,2020,WV,19.4,354
99,2020,WI,14.5,866
100,2020,WY,30.5,182
101,2019,AL,16.3,804
102,2019,AK,28.5,210
103,2019,AZ,18.7,1419
104,2019,AR,18.0,548
105,2019,CA,10.7,4436
106,2019,CO,22.1,1312
107,2019,CT,11.4,435
108,2019,DE,11.3,111
109,2019,FL,14.5,3465
110,2019,GA,14.6,1585
111,2019,HI,15.5,224
112,2019,ID,20.4,365
113,2019,IL,10.9,1439
114,2019,IN,14.2,972
115,2019,IA,16.7,528
116,2019,KS,18.2,523
117,2019,KY,16.5,756
118,2019,LA,15.0,704
119,2019,ME,19.4,276
120,2019,MD,10.3,657
121,2019,MA,8.7,647
122,2019,MI,14.3,1472
123,2019,MN,14.4,830
124,2019,MS,14.4,436
125,2019,MO,18.2,1141
126,2019,MT,26.2,289
127,2019,NE,16.1,309
128,2019,NV,19.8,642
129,2019,NH,17.5,255
130,2019,NJ,8.0,762
131,2019,NM,24.0,513
132,2019,NY,8.3,1705
133,2019,NC,12.5,1358
134,2019,ND,18.1,136
135,2019,OH,15.1,1806
136,2019,OK,20.5,816
137,2019,OR,20.4,906
138,2019,PA,14.1,1896
139,2019,RI,10.7,123
140,2019,SC,16.2,852
141,2019,SD,20.9,182
142,2019,TN,17.2,1219
143,2019,TX,13.4,3891
144,2019,UT,21.2,654
145,2019,VT,16.0,110
146,2019,VA,12.8,1140
147,2019,WA,15.9,1263
148,2019,WV,18.5,330
149,2019,WI,14.0,845
150,2019,WY,29.3,170
151,2018,AL,16.5,823
