index,Year,Primary_School,High_School,Associates_Degree,Professional_Degree,White,Black,Asian,Hispanic,Men,Women
1,2010,15.3,10.2,8.6,4.9,8.8,16.5,8.3,12.9,10.2,7.9
2,2011,14.3,9.5,8.1,4.3,8.1,15.8,6.8,12.3,9.0,7.9
3,2012,13.0,8.5,7.1,4.3,7.4,13.6,6.7,10.7,7.7,7.6
4,2013,12.0,8.1,6.9,3.8,7.1,13.7,6.4,9.7,7.5,7.2
5,2014,9.4,6.5,5.9,3.3,5.7,12.1,4.7,8.3,6.2,5.8
6,2015,8.3,5.4,5.2,2.8,4.9,10.3,4.0,6.7,5.3,5.0
7,2016,7.1,5.2,4.2,2.5,4.2,8.7,3.6,5.8,4.4,4.5
8,2017,7.4,5.2,3.8,2.5,4.2,7.5,3.7,5.8,4.3,4.4
9,2018,5.4,4.4,3.4,2.1,3.5,7.5,3.0,5.0,3.8,3.6
10,2019,5.7,3.7,3.4,2.4,3.5,6.8,3.1,4.8,3.7,3.6
11,2020,5.5,3.8,2.8,2.0,3.1,6.0,3.0,4.3,3.3,3.2
12,2010,15.8,10.7,8.1,4.9,8.9,16.1,8.2,12.7,10.3,8.0
13,2011,14.0,9.7,7.9,4.3,8.1,15.5,6.7,11.8,8.9,7.9
14,2012,13.1,8.3,7.2,4.2,7.4,14.0,6.2,10.9,7.7,7.6
15,2013,11.3,7.9,6.5,3.9,6.8,13.8,6.0,9.7,7.0,7.0
16,2014,9.8,6.4,6.0,3.4,5.8,11.8,5.9,8.2,6.3,5.9
17,2015,8.2,5.4,5.0,2.7,4.7,10.1,4.0,6.8,5.2,4.9
18,2016,7.0,5.2,4.2,2.5,4.3,8.5,3.8,5.4,4.5,4.5
19,2017,7.7,4.9,4.0,2.4,4.0,7.9,3.4,5.5,4.3,4.2
20,2018,5.7,4.4,3.5,2.2,3.7,6.7,2.9,4.9,3.7,3.8
21,2019,5.3,3.7,3.1,2.2,3.3,6.9,3.1,4.3,3.5,3.4
22,2020,5.7,3.6,3.0,1.9,3.1,5.8,2.5,4.4,3.3,3.1
23,2010,14.9,11.0,8.4,4.9,8.9,16.8,7.6,12.9,10.2,8.1
24,2011,14.1,9.7,7.5,4.4,8.0,15.8,7.3,11.6,8.8,7.8
25,2012,12.8,8.1,7.5,4.1,7.3,14.0,6.4,10.6,7.7,7.4
26,2013,11.1,7.7,6.3,3.8,6.7,13.0,5.1,9.3,6.9,6.9
27,2014,9.4,6.3,6.0,3.4,5.8,12.1,5.5,7.9,6.1,6.2
28,2015,8.6,5.3,4.8,2.4,4.8,9.9,3.2,6.8,5.1,4.9
29,2016,7.3,5.3,4.1,2.6,4.3,8.9,3.9,5.5,4.5,4.6
30,2017,6.6,4.9,3.7,2.4,3.9,7.9,3.3,5.0,4.2,3.9
31,2018,5.5,4.3,3.5,2.2,3.6,6.8,3.1,5.0,3.7,3.7
32,2019,5.8,3.7,3.4,2.0,3.4,6.6,3.1,4.7,3.6,3.3
33,2020,6.8,4.4,3.7,2.5,4.0,6.7,4.1,6.0,4.0,4.0
34,2010,14.7,10.8,8.4,4.8,9.0,16.6,7.0,12.5,10.2,8.3
35,2011,14.7,9.9,7.5,4.5,8.1,16.5,6.5,11.9,8.9,8.0
36,2012,12.5,8.0,7.6,4.0,7.4,13.3,5.4,10.3,7.6,7.4
37,2013,11.6,7.5,6.4,3.9,6.7,13.3,5.3,9.0,7.2,6.7
38,2014,8.7,6.2,5.7,3.3,5.3,11.6,5.9,7.2,5.9,5.6
39,2015,8.4,5.5,4.7,2.7,4.7,9.7,4.4,6.8,5.0,5.0
40,2016,7.6,5.5,4.2,2.4,4.4,8.8,3.8,6.1,4.6,4.6
41,2017,6.4,4.6,3.7,2.5,3.9,7.9,3.3,5.1,3.9,4.1
42,2018,5.8,4.3,3.4,2.1,3.6,6.4,2.8,4.8,3.7,3.5
43,2019,5.3,3.4,3.1,2.1,3.1,6.6,2.2,4.2,3.4,3.1
44,2020,,,,,,,,,,
45,2010,14.6,10.9,8.2,4.6,8.7,15.5,7.8,12.0,9.7,8.1
46,2011,14.5,9.6,7.8,4.5,7.9,16.3,7.2,11.6,8.8,8.0
47,2012,12.9,8.3,7.7,3.9,7.4,13.5,5.5,10.9,7.7,7.4
48,2013,11.0,7.3,6.5,3.9,6.7,13.4,4.5,9.0,7.1,6.5
49,2014,9.2,6.5,5.5,3.2,5.4,11.4,5.7,7.7,5.9,5.8
50,2015,8.7,5.8,4.4,2.8,4.8,10.3,4.1,6.8,5.2,5.1
51,2016,7.5,5.1,3.9,2.5,4.2,8.2,4.2,5.6,4.5,4.3
52,2017,6.3,4.8,4.1,2.3,3.8,7.7,3.7,5.2,4.0,4.1
53,2018,5.5,3.9,3.3,2.0,3.5,5.9,2.2,4.9,3.6,3.4
54,2019,5.4,3.6,2.8,2.1,3.3,6.2,2.5,4.2,3.4,3.3
55,2020,,,,,,,,,,
56,2010,14.2,10.6,8.1,4.4,8.6,15.2,7.4,12.3,9.7,7.7
57,2011,14.4,10.0,8.3,4.3,8.1,16.2,6.5,11.5,9.0,8.0
58,2012,12.6,8.6,7.3,4.0,7.3,14.5,6.1,10.9,7.7,7.4
59,2013,10.7,7.7,6.5,3.8,6.6,14.2,4.7,9.1,7.0,6.8
60,2014,9.2,5.9,5.2,3.3,5.3,11.0,4.7,7.8,5.7,5.3
61,2015,8.2,5.4,4.2,2.5,4.6,9.7,3.9,6.7,4.8,4.7
62,2016,7.6,5.1,4.2,2.5,4.3,8.8,3.5,5.9,4.5,4.4
63,2017,6.5,4.6,3.8,2.3,3.8,7.1,3.6,4.9,4.0,4.0
64,2018,5.5,4.1,3.3,2.3,3.5,6.5,3.2,4.5,3.7,3.6
65,2019,5.3,3.9,3.0,2.1,3.3,6.0,2.1,4.3,3.3,3.3
66,2020,,,,,,,,,,
67,2010,13.5,10.0,8.3,4.5,8.5,15.6,7.9,12.2,9.6,7.9
68,2011,14.5,9.1,8.3,4.2,8.0,15.9,7.4,11.2,8.8,7.9
69,2012,12.4,8.5,7.2,4.1,7.3,14.2,5.9,10.2,7.7,7.4
70,2013,10.8,7.5,6.1,3.8,6.5,12.6,5.3,9.4,7.0,6.3
71,2014,9.5,6.1,5.3,3.1,5.3,11.6,4.2,7.7,5.7,5.6
72,2015,8.3,5.5,4.3,2.5,4.5,9.1,3.9,6.9,4.8,4.8
73,2016,6.5,5.1,4.2,2.5,4.2,8.4,3.8,5.5,4.6,4.2
74,2017,7.1,4.5,3.7,2.3,3.7,7.4,3.8,5.1,4.0,3.9
75,2018,5.2,4.1,3.2,2.2,3.3,6.6,3.1,4.4,3.4,3.6
